source_id,target_id,relationship,source_url,source_document,page,chunk_id
ahc-model,ahc-model__var__bene-id,contains,https://resdac.org/cms-data/variables/encrypted-ccw-beneficiary-identifier-0,data/raw/html/variable_page/9efd4e8c601b6393003c97885503f9735cda60b3.html,17,ahc-model__codebook-ahc_pdf__2ecadb1aec__p17__chunk_2
ahc-model,ahc-model__var__sr-cn-hrsn-yn,contains,https://www2.ccwdata.org/documents/10280/19022436/codebook-ahc.pdf,data/raw/assets/pdf/2ecadb1aec0f9d6e0f07a7cc628ccf35b46ec6c5.pdf,155,ahc-model__codebook-ahc_pdf__2ecadb1aec__p155__chunk_1
ahc-model,ahc-model__var__sr-ed-last-12-mos,contains,https://www2.ccwdata.org/documents/10280/19022436/codebook-ahc.pdf,data/raw/assets/pdf/2ecadb1aec0f9d6e0f07a7cc628ccf35b46ec6c5.pdf,155,ahc-model__codebook-ahc_pdf__2ecadb1aec__p155__chunk_1
ahcah-patient,ahcah-patient__var__bene-id,contains,https://resdac.org/cms-data/variables/encrypted-ccw-beneficiary-id,data/raw/html/variable_page/69950b21ed36af6e7ed6c908dc18142a50445d3c.html,8,ahcah-patient__codebook-ahcah_pdf__27ccfc2740__p8__chunk_1
cahps,cahps__var__sa-type,contains,https://resdac.org/sites/datadocumentation.resdac.org/files/2026-05/MA_PDP_CAHPS_DataDictionary_2025_CCW.pdf,data/raw/assets/pdf/d2602cbe44c673c77cf8472b3ff5f084d5a5c3aa.pdf,10,cahps__ma-pdp-cahps-datadictionary-2025-ccw_pdf__d2602cbe44__p10__chunk_1
cahps,cahps__var__su-type,contains,https://resdac.org/sites/datadocumentation.resdac.org/files/2026-05/MA_PDP_CAHPS_DataDictionary_2025_CCW.pdf,data/raw/assets/pdf/d2602cbe44c673c77cf8472b3ff5f084d5a5c3aa.pdf,10,cahps__ma-pdp-cahps-datadictionary-2025-ccw_pdf__d2602cbe44__p10__chunk_0
ip-encounter,ip-encounter__var__bene-id,contains,https://resdac.org/cms-data/variables/encrypted-ccw-beneficiary-id,data/raw/html/variable_page/69950b21ed36af6e7ed6c908dc18142a50445d3c.html,16,ip-encounter__codebook-encounter-records_pdf__ace8b4036c__p16__chunk_1
ip-encounter,ip-encounter__var__clm-cntl-num,contains,https://resdac.org/cms-data/variables/claim-control-number,data/raw/html/variable_page/f308bdb2598ef08fe2bd1d74ff271da9cd40c698.html,45,ip-encounter__codebook-encounter-records_pdf__ace8b4036c__p45__chunk_2
ip-encounter,ip-encounter__var__clm-rcpt-dt,contains,https://resdac.org/cms-data/variables/claim-receipt-date,data/raw/html/variable_page/76a830a2702145d7315961a838250e604646a1fe.html,74,ip-encounter__codebook-encounter-records_pdf__ace8b4036c__p74__chunk_1
ip-encounter,ip-encounter__var__clm-thru-dt,contains,https://resdac.org/cms-data/variables/service-month,data/raw/html/variable_page/30f9e17155cdb5b9ea1b3e40ef272f4d202ef6c0.html,32,ip-encounter__codebook-encounter-records_pdf__ace8b4036c__p32__chunk_1
ip-encounter,ip-encounter__var__icd-dgns-e-cd1,contains,https://resdac.org/cms-data/variables/claim-diagnosis-e-code-1-encounter,data/raw/html/variable_page/869910e92416feac84653533b5016530bb4c96bb.html,81,ip-encounter__codebook-encounter-records_pdf__ace8b4036c__p81__chunk_1
ip-ffs,ip-ffs__var__bene-id,contains,https://resdac.org/cms-data/variables/encrypted-ccw-beneficiary-id,data/raw/html/variable_page/69950b21ed36af6e7ed6c908dc18142a50445d3c.html,29,ip-ffs__codebook-ffs-claims_pdf__a4af628b5a__p29__chunk_1
ip-ffs,ip-ffs__var__clm-disp-cd,contains,https://www2.ccwdata.org/documents/10280/19022436/codebook-ffs-claims.pdf,data/raw/assets/pdf/a4af628b5ad494c93baa8921ab4d55ef29217d67.pdf,44,ip-ffs__codebook-ffs-claims_pdf__a4af628b5a__p44__chunk_1
ip-ffs,ip-ffs__var__clm-next-gnrtn-aco-ind-cd1,contains,https://resdac.org/cms-data/variables/claim-next-generation-ng-accountable-care-organization-aco-indicator-code-population-based-payment-pbp,data/raw/html/variable_page/ae99c2db0488f1e89b5f87430680de8f8329a8b1.html,8,ip-ffs__record-layout-ffs-claims_xlsx__90c19c7ea3__s8__chunk_1
ip-ffs,ip-ffs__var__clm-op-pps-ind,contains,https://www2.ccwdata.org/documents/10280/19022436/codebook-ffs-claims.pdf,data/raw/assets/pdf/a4af628b5ad494c93baa8921ab4d55ef29217d67.pdf,388,ip-ffs__codebook-ffs-claims_pdf__a4af628b5a__p388__chunk_2
ip-ffs,ip-ffs__var__clm-rlt-cond-cd,contains,https://resdac.org/cms-data/variables/claim-related-condition-code-sequence,data/raw/html/variable_page/53d2231e3d34a44d32e05bddc47971c3e72a6831.html,108,ip-ffs__codebook-ffs-claims_pdf__a4af628b5a__p108__chunk_2
ip-ffs,ip-ffs__var__clm-val-cd,contains,https://resdac.org/cms-data/variables/claim-value-amount,data/raw/html/variable_page/694b9f956c40c24d5e58e64d697de5fb204655f9.html,108,ip-ffs__codebook-ffs-claims_pdf__a4af628b5a__p108__chunk_2
ip-ffs,ip-ffs__var__dmerc-oxgn-initl-dt-cd,contains,https://www2.ccwdata.org/documents/10280/19022436/codebook-ffs-claims.pdf,data/raw/assets/pdf/a4af628b5ad494c93baa8921ab4d55ef29217d67.pdf,178,ip-ffs__codebook-ffs-claims_pdf__a4af628b5a__p178__chunk_0
ip-ffs,ip-ffs__var__icd-dgns-cd1,contains,https://resdac.org/cms-data/variables/claim-principal-diagnosis-code-ffs,data/raw/html/variable_page/ad7d861ddc79d4c73b00fddbd7808c508fa026e6.html,203,ip-ffs__codebook-ffs-claims_pdf__a4af628b5a__p203__chunk_2
ip-ffs,ip-ffs__var__icd-prcdr-cd1,contains,https://resdac.org/cms-data/variables/claim-procedure-code-i-ffs,data/raw/html/variable_page/b810c497405edb79a708ddd321e497238e1024fd.html,208,ip-ffs__codebook-ffs-claims_pdf__a4af628b5a__p208__chunk_1
ip-ffs,ip-ffs__var__line-othr-apld-ind-cd1,contains,https://www2.ccwdata.org/documents/10280/19022436/codebook-ffs-claims.pdf,data/raw/assets/pdf/a4af628b5ad494c93baa8921ab4d55ef29217d67.pdf,3,ip-ffs__codebook-ffs-claims_pdf__a4af628b5a__p3__chunk_3
